Date,SPY,QQQ,TLT,GLD,IEF
2016-09-21,0.011245358979794284,0.00982915184738875,0.00808751061472135,0.014588601451239303,0.0016203960425791308
2016-09-22,0.00630165363663715,0.007955805605130983,0.007948187007433605,0.00235721740921524,0.0029664114511180895
2016-09-23,-0.005479468959712963,-0.006381384671856782,-0.0009488362514856741,0.0006271210413582029,0.0004483312886394142
2016-09-26,-0.008102060097744834,-0.00836647488196618,0.006358547110133506,-0.0007833801247610905,0.002866530856489913
2016-09-27,0.006208015601729011,0.009885464479142403,0.007335343602568711,-0.007291260548213385,0.0016971835731034446
2016-09-28,0.004963570780469606,0.0016878395646688915,-0.002162343552096213,-0.003159070582864132,-0.0004460063507519818
2016-09-29,-0.009047333446160044,-0.0072451236369960315,0.0025283964488103106,-0.0011884132817953086,0.0006246014486830376
2016-09-30,0.007546343177925241,0.007467769330148588,-0.008937106921457882,-0.003410805950794571,-0.00249641624470609
2016-10-03,-0.002404309815797645,-0.0014318400054297298,-0.003299766379668334,-0.0025469571504198596,-0.002326950665179961
2016-10-04,-0.0050977692084438475,-0.0015185108975670492,-0.011695558849699195,-0.03471112739159021,-0.004575225304482067
2016-10-05,0.004425268189812259,0.003548259121373354,-0.004659170552304581,-0.0015706575141682944,-0.0022532428239416813
2016-10-06,0.0006955434589954734,-0.0005051019276740565,-0.005572781602220966,-0.009273018119780652,-0.0020773446742395896
2016-10-07,-0.003429592051772623,-0.0021898582362162022,0.0006721454249392078,0.000668512445361813,0.0014482047719170943
2016-10-10,0.0052086219822675695,0.006330725161673989,-0.005898929229257832,0.0035076482865623593,-0.0026211786884633437
2016-10-11,-0.012629439563349831,-0.014259376098167631,-0.002253406751670628,-0.005076569505331308,-0.00027175464457762644
2016-10-12,0.0013118312444213576,-0.0008508183679055703,0.000978643508765975,0.0015892497462293154,0.0
2016-10-13,-0.0032757831329733866,-0.003576966279179916,0.003761241550154004,0.002421921836488483,0.0020846880735041484
2016-10-14,0.0005167081696846321,0.0011965790636863094,-0.014011911657608844,-0.0055819226506638175,-0.0030753888981884803
2016-10-17,-0.0034721456619389857,-0.0027317989206062654,0.006383068776554035,0.0026809625769763645,0.002177323079607163
2016-10-18,0.006262299804280058,0.008902579520304155,0.003246993569785861,0.006183137214928136,0.0019920520263982944
